timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705667278954,1222,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-2,text,true,,125302,138,10,12,https://www.imagicaaworld.com/indias-many-firsts/,1037,0,0
1705667280228,2091,casestudy-1,200,OK,AssignmentTask3 6-6,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,872,0,0
1705667280228,872,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-6,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,872,0,0
1705667281100,1219,casestudy-1-1,200,OK,AssignmentTask3 6-6,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1205,0,0
1705667280228,2126,casestudy-1,200,OK,AssignmentTask3 6-9,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,839,0,0
1705667280228,2125,casestudy-1,200,OK,AssignmentTask3 6-7,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,796,0,0
1705667280228,839,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-9,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,839,0,0
1705667280228,796,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-7,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,796,0,0
1705667281068,1286,casestudy-1-1,200,OK,AssignmentTask3 6-9,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1247,0,0
1705667281024,1329,casestudy-1-1,200,OK,AssignmentTask3 6-7,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1293,0,0
1705667280228,2190,casestudy-1,200,OK,AssignmentTask3 6-5,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,905,0,0
1705667280228,905,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-5,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,905,0,0
1705667280228,2190,casestudy-1,200,OK,AssignmentTask3 6-8,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,946,0,0
1705667281133,1285,casestudy-1-1,200,OK,AssignmentTask3 6-5,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1258,0,0
1705667280228,946,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-8,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,946,0,0
1705667281174,1244,casestudy-1-1,200,OK,AssignmentTask3 6-8,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1223,0,0
1705667280228,2214,casestudy-1,200,OK,AssignmentTask3 6-3,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1010,0,0
1705667280228,1010,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-3,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1010,0,0
1705667281238,1204,casestudy-1-1,200,OK,AssignmentTask3 6-3,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1175,0,0
1705667280228,2218,casestudy-1,200,OK,AssignmentTask3 6-4,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,968,0,0
1705667280228,968,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-4,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,968,0,0
1705667281196,1250,casestudy-1-1,200,OK,AssignmentTask3 6-4,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1244,0,0
1705667280228,2228,casestudy-1,200,OK,AssignmentTask3 6-2,text,true,,164550,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,941,0,0
1705667280228,941,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-2,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,941,0,0
1705667281169,1287,casestudy-1-1,200,OK,AssignmentTask3 6-2,text,true,,163988,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1185,0,0
1705667280228,2229,casestudy-1,200,OK,AssignmentTask3 6-10,text,true,,164548,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,872,0,0
1705667280228,872,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-10,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,872,0,0
1705667281100,1357,casestudy-1-1,200,OK,AssignmentTask3 6-10,text,true,,163986,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1344,0,0
1705667280228,2291,casestudy-1,200,OK,AssignmentTask3 6-1,text,true,,164550,576,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,988,0,0
1705667280228,988,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-1,text,true,,562,286,10,12,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,988,0,0
1705667281216,1303,casestudy-1-1,200,OK,AssignmentTask3 6-1,text,true,,163988,290,10,12,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1228,0,0
1705667282569,2123,casestudy-3(familyrides),200,OK,AssignmentTask3 6-6,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,850,0,0
1705667282569,850,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-6,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,850,0,0
1705667283419,1273,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-6,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1250,0,0
1705667282569,2155,casestudy-3(familyrides),200,OK,AssignmentTask3 6-4,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,887,0,0
1705667282569,887,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-4,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,887,0,0
1705667283456,1268,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-4,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1257,0,0
1705667282569,2176,casestudy-3(familyrides),200,OK,AssignmentTask3 6-5,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,895,0,0
1705667282569,895,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-5,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,895,0,0
1705667283464,1281,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-5,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1255,0,0
1705667282569,2216,casestudy-3(familyrides),200,OK,AssignmentTask3 6-3,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1064,0,0
1705667282569,1064,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-3,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,1064,0,0
1705667283633,1152,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-3,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1135,0,0
1705667282570,2216,casestudy-3(familyrides),200,OK,AssignmentTask3 6-10,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1146,0,0
1705667282570,1146,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-10,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,1146,0,0
1705667283716,1070,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-10,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1046,0,0
1705667282569,2250,casestudy-3(familyrides),200,OK,AssignmentTask3 6-8,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,912,0,0
1705667282569,912,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-8,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,912,0,0
1705667283481,1338,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-8,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1312,0,0
1705667282569,2260,casestudy-3(familyrides),200,OK,AssignmentTask3 6-7,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,850,0,0
1705667282569,850,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-7,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,850,0,0
1705667283419,1410,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-7,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1398,0,0
1705667282569,2262,casestudy-3(familyrides),200,OK,AssignmentTask3 6-9,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1109,0,0
1705667282569,1109,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-9,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,1109,0,0
1705667283678,1153,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-9,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1143,0,0
1705667282570,2263,casestudy-3(familyrides),200,OK,AssignmentTask3 6-2,text,true,,116052,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1105,0,0
1705667282570,1105,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-2,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,1105,0,0
1705667283675,1158,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-2,text,true,,115629,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1112,0,0
1705667282569,2290,casestudy-3(familyrides),200,OK,AssignmentTask3 6-1,text,true,,116045,298,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1039,0,0
1705667282569,1039,casestudy-3(familyrides)-0,301,Moved Permanently,AssignmentTask3 6-1,text,true,,423,147,10,13,https://imagicaaworld.com/water-park/family-rides/floatsa/,1039,0,0
1705667283608,1251,casestudy-3(familyrides)-1,200,OK,AssignmentTask3 6-1,text,true,,115622,151,10,13,https://www.imagicaaworld.com/water-park/family-rides/floatsa/,1214,0,0
1705667284919,1719,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-6,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,734,0,0
1705667284919,734,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-6,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,734,0,0
1705667285654,984,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-6,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,969,0,0
1705667284919,1736,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-7,text,true,,125712,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,769,0,0
1705667284919,769,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-7,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,769,0,0
1705667285688,967,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-7,text,true,,125302,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,944,0,0
1705667284919,1789,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-3,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,810,0,0
1705667284919,810,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-3,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,810,0,0
1705667285729,979,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-3,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,969,0,0
1705667284919,1821,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-2,text,true,,125710,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,810,0,0
1705667284919,810,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-2,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,810,0,0
1705667285729,1011,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-2,text,true,,125300,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,979,0,0
1705667284919,1831,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-9,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,750,0,0
1705667284919,1831,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-4,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,883,0,0
1705667284919,750,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-9,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,750,0,0
1705667284919,883,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-4,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,883,0,0
1705667285669,1081,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-9,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,1067,0,0
1705667285802,948,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-4,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,929,0,0
1705667284919,1872,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-8,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,790,0,0
1705667284919,790,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-8,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,790,0,0
1705667285709,1082,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-8,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,1055,0,0
1705667284919,1873,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-5,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,941,0,0
1705667284919,941,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-5,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,941,0,0
1705667285860,932,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-5,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,925,0,0
1705667284919,1881,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-10,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,934,0,0
1705667284919,934,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-10,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,934,0,0
1705667285853,947,casestudy-2(manyfiest)-1,200,OK,AssignmentTask3 6-10,text,true,,125294,138,10,13,https://www.imagicaaworld.com/indias-many-firsts/,935,0,0
1705667284919,1883,casestudy-2(manyfiest),200,OK,AssignmentTask3 6-1,text,true,,125704,272,10,13,https://www.imagicaaworld.com/indias-many-firsts/,854,0,0
1705667284919,854,casestudy-2(manyfiest)-0,301,Moved Permanently,AssignmentTask3 6-1,text,true,,410,134,10,13,https://imagicaaworld.com/indias-many-firsts/,854,0,0
